nome;sexo;classe;arma;magia;vida
Osric Ferronegro;M;MAGO;Bastao Etereo:5;Seta Arcana:8;31
Osric Gelocorvo;M;LADINO;Punhal Sombrio:5;;35
Osric Vaupedra;M;LADINO;Punhal Sombrio:5;;55
Osric Ventolesto;M;MAGO;Varinha Runica:3;Bola de Fogo:12;27
Percival Brumafria;M;MAGO;Cajado Arcano:4;Bola de Fogo:12;30
Percival Cinzarubra;M;CLERIGO;Maca Sagrada:6;Luz Curativa:9;47
Percival Montelongo;M;GUERREIRO;Martelo Pesado:9;;58
Percival Quebrantosso;M;MAGO;Cajado Arcano:4;Seta Arcana:8;38
Percival Vaupedra;M;GUERREIRO;Montante:10;;52
Quimera Colossal;M;MONSTRO;Garra Afiada:7;;64
Quimera da Cripta;F;MONSTRO;Garra Afiada:7;;34
Quimera da Floresta;F;MONSTRO;Presa Venenosa:6;Sopro Sombrio:10;37
Quimera Errante;M;MONSTRO;Garra Afiada:7;Sopro Sombrio:10;85
Quimera Maldito;F;MONSTRO;Presa Venenosa:6;;75
Roderic Florsombria;M;MAGO;Adaga Ritual:3;Seta Arcana:8;35
Roderic Folhaverde;M;GUERREIRO;Machado de Guerra:8;;70
Roderic Laminar;M;MAGO;Adaga Ritual:3;Bola de Fogo:12;32
Roderic Luzprata;M;MAGO;Bastao Etereo:5;Tempestade Eletrica:14;37
Roderic Riachoclaro;M;LADINO;Arco Curto:6;;36
Roderic Solposto;M;CLERIGO;Maca Sagrada:6;Escudo da Fe:7;39
Rowena Aurivento;F;CLERIGO;Cetro Bento:5;Escudo da Fe:7;54
Rowena Cravorrubro;F;LADINO;Adaga Gemea:6;;47
Rowena Dentebravo;F;CLERIGO;Cetro Bento:5;Escudo da Fe:7;44
Rowena Florsombria;F;LADINO;Adaga Gemea:6;;42
Rowena Quebrantosso;F;GUERREIRO;Martelo Pesado:9;;54
Rowena Solposto;F;MAGO;Varinha Runica:3;Tempestade Eletrica:14;38
Rowena Urzevelha;F;MAGO;Adaga Ritual:3;Bola de Fogo:12;40
Seraphina Florsombria;F;LADINO;Arco Curto:6;;38
Seraphina Folhaverde;F;LADINO;Besta de Mao:7;;55
Seraphina Luzprata;F;LADINO;Adaga Gemea:6;;49
Seraphina Pelegris;F;LADINO;Arco Curto:6;;37
Seraphina Ventolesto;F;LADINO;Punhal Sombrio:5;;37
Slime Colossal;M;MONSTRO;Presa Venenosa:6;Veneno Corrosivo:9;29
Slime da Floresta;F;MONSTRO;Garra Afiada:7;Veneno Corrosivo:9;41
Slime das Cavernas;F;MONSTRO;Mandibula Brutal:9;Sopro Sombrio:10;43
Slime do Norte;F;MONSTRO;Tentaculo:5;;75
Slime do Pantano;M;MONSTRO;Presa Venenosa:6;Grito Aterrador:8;62
Slime Faminto;F;MONSTRO;Cauda Espinhosa:8;Veneno Corrosivo:9;36
Slime Uivante;F;MONSTRO;Tentaculo:5;Grito Aterrador:8;34
Slime Venenoso;F;MONSTRO;Garra Afiada:7;Veneno Corrosivo:9;77
Soren Espinhal;M;LADINO;Besta de Mao:7;;39
Soren Florsombria;M;CLERIGO;Maca Sagrada:6;Luz Curativa:9;45
Soren Noitefria;M;LADINO;Adaga Gemea:6;;42
Soren Pedraforte;M;MAGO;Bastao Etereo:5;Bola de Fogo:12;26
Soren Solposto;M;CLERIGO;Cetro Bento:5;Escudo da Fe:7;44
Soren Tremoco;M;GUERREIRO;Martelo Pesado:9;;59
Soren Vaupedra;M;LADINO;Arco Curto:6;;50
Sybil Dentebravo;F;GUERREIRO;Martelo Pesado:9;;61
Sybil Gelocorvo;F;LADINO;Adaga Gemea:6;;37
Sybil Laminar;F;LADINO;Adaga Gemea:6;;38
Sybil Luzprata;F;LADINO;Punhal Sombrio:5;;46
Sybil Montelongo;F;MAGO;Varinha Runica:3;Seta Arcana:8;34
Sybil Ostraval;F;CLERIGO;Martelo da Fe:7;Punicao Divina:11;58
Sybil Riachoclaro;F;GUERREIRO;Alabarda:8;;65
Sybil Solposto;F;MAGO;Adaga Ritual:3;Raio Congelante:10;32
Sybil Urzevelha;F;LADINO;Besta de Mao:7;;38
Sybil Vaupedra;F;GUERREIRO;Alabarda:8;;58
Talia Brumafria;F;CLERIGO;Martelo da Fe:7;Escudo da Fe:7;35
Talia Cravorrubro;F;CLERIGO;Maca Sagrada:6;Escudo da Fe:7;47
Talia Dentebravo;F;MAGO;Cajado Arcano:4;Tempestade Eletrica:14;36
Talia Gelocorvo;F;LADINO;Besta de Mao:7;;44
Talia Ostraval;F;CLERIGO;Maca Sagrada:6;Escudo da Fe:7;49
Talia Solposto;F;CLERIGO;Cetro Bento:5;Punicao Divina:11;57
Talia Sombravale;F;LADINO;Besta de Mao:7;;45
Thorin Dentebravo;M;GUERREIRO;Martelo Pesado:9;;70
Thorin Montelongo;M;CLERIGO;Maca Sagrada:6;Luz Curativa:9;47
Thorin Sombravale;M;MAGO;Varinha Runica:3;Bola de Fogo:12;31
Thorin Urzevelha;M;LADINO;Arco Curto:6;;42
Troll Anciao;F;MONSTRO;Tentaculo:5;Grito Aterrador:8;38
Troll do Norte;F;MONSTRO;Mandibula Brutal:9;;58
Troll Esquecido;F;MONSTRO;Mandibula Brutal:9;Grito Aterrador:8;69
Troll Maldito;M;MONSTRO;Tentaculo:5;Grito Aterrador:8;89
Troll Petreo;M;MONSTRO;Tentaculo:5;;68
Troll Uivante;M;MONSTRO;Tentaculo:5;;76
Troll Venenoso;M;MONSTRO;Garra Afiada:7;Grito Aterrador:8;49
Troll Voraz;F;MONSTRO;Garra Afiada:7;Sopro Sombrio:10;45
Ulric Cinzarubra;M;CLERIGO;Cetro Bento:5;Punicao Divina:11;37
Ulric Gelocorvo;M;LADINO;Punhal Sombrio:5;;46
Ulric Pedraforte;M;MAGO;Varinha Runica:3;Bola de Fogo:12;27
Ulric Riachoclaro;M;GUERREIRO;Alabarda:8;;56
Ulric Solposto;M;LADINO;Punhal Sombrio:5;;49
Ulric Sombravale;M;MAGO;Bastao Etereo:5;Seta Arcana:8;37
Ulric Vaupedra;M;MAGO;Cajado Arcano:4;Seta Arcana:8;29
Una Folhaverde;F;CLERIGO;Cetro Bento:5;Luz Curativa:9;56
Una Gelocorvo;F;LADINO;Besta de Mao:7;;44
Una Ostraval;F;LADINO;Adaga Gemea:6;;38
Una Pelegris;F;LADINO;Punhal Sombrio:5;;41
Una Quebrantosso;F;GUERREIRO;Martelo Pesado:9;;47
Una Urzevelha;F;MAGO;Adaga Ritual:3;Seta Arcana:8;39
Una Vaupedra;F;MAGO;Cajado Arcano:4;Bola de Fogo:12;34
Varek Aurivento;M;LADINO;Adaga Gemea:6;;40
Varek Cravorrubro;M;MAGO;Varinha Runica:3;Seta Arcana:8;40
Varek Espinhal;M;LADINO;Besta de Mao:7;;48
Varek Noitefria;M;GUERREIRO;Martelo Pesado:9;;59
Varek Ostraval;M;CLERIGO;Cetro Bento:5;Punicao Divina:11;37
Varek Vaupedra;M;CLERIGO;Cetro Bento:5;Escudo da Fe:7;39
Vesper Cinzarubra;F;GUERREIRO;Martelo Pesado:9;;70
Vesper Cravorrubro;F;CLERIGO;Maca Sagrada:6;Escudo da Fe:7;42
Vesper Florsombria;F;CLERIGO;Cetro Bento:5;Escudo da Fe:7;39
Vesper Laminar;F;GUERREIRO;Machado de Guerra:8;;55
Vesper Luzprata;F;CLERIGO;Maca Sagrada:6;Escudo da Fe:7;51
Vesper Montelongo;F;LADINO;Besta de Mao:7;;52
Vesper Riachoclaro;F;CLERIGO;Martelo da Fe:7;Luz Curativa:9;47
Vesper Sombravale;F;LADINO;Punhal Sombrio:5;;40
Vesper Urzevelha;F;CLERIGO;Cetro Bento:5;Punicao Divina:11;59
Vesper Vaupedra;F;LADINO;Punhal Sombrio:5;;46
Wendel Brumafria;M;CLERIGO;Cetro Bento:5;Punicao Divina:11;40
Wendel Espinhal;M;LADINO;Punhal Sombrio:5;;39
Wendel Ferronegro;M;LADINO;Punhal Sombrio:5;;54
Wendel Laminar;M;MAGO;Varinha Runica:3;Bola de Fogo:12;29
Wendel Montelongo;M;GUERREIRO;Espada Longa:7;;57
Wendel Pelegris;M;MAGO;Bastao Etereo:5;Bola de Fogo:12;38
Wendel Tremoco;M;MAGO;Varinha Runica:3;Bola de Fogo:12;38
Wren Montelongo;F;MAGO;Varinha Runica:3;Seta Arcana:8;33
Wren Pedraforte;F;CLERIGO;Martelo da Fe:7;Luz Curativa:9;58
Yoric Ferronegro;M;LADINO;Arco Curto:6;;52
Yoric Laminar;M;MAGO;Adaga Ritual:3;Seta Arcana:8;39
Yoric Luzprata;M;LADINO;Punhal Sombrio:5;;47
Yoric Pelegris;M;LADINO;Besta de Mao:7;;49
Yvaine Cinzarubra;F;GUERREIRO;Montante:10;;55
Yvaine Gelocorvo;F;LADINO;Adaga Gemea:6;;50
Yvaine Laminar;F;CLERIGO;Cetro Bento:5;Punicao Divina:11;40
Yvaine Luzprata;F;LADINO;Arco Curto:6;;49
Yvaine Ostraval;F;LADINO;Adaga Gemea:6;;39
Yvaine Riachoclaro;F;LADINO;Adaga Gemea:6;;44
Yvaine Ventolesto;F;MAGO;Bastao Etereo:5;Raio Congelante:10;34
Zander Cinzarubra;M;CLERIGO;Maca Sagrada:6;Escudo da Fe:7;45
Zander Cravorrubro;M;MAGO;Adaga Ritual:3;Seta Arcana:8;28
Zander Ferronegro;M;LADINO;Adaga Gemea:6;;51
Zander Luzprata;M;CLERIGO;Cetro Bento:5;Escudo da Fe:7;52
Zander Ostraval;M;LADINO;Punhal Sombrio:5;;55
Zander Pelegris;M;MAGO;Bastao Etereo:5;Tempestade Eletrica:14;29
Zander Quebrantosso;M;GUERREIRO;Espada Longa:7;;68
Zander Sombravale;M;LADINO;Punhal Sombrio:5;;45
Zander Urzevelha;M;LADINO;Besta de Mao:7;;52
Zelda Cravorrubro;F;LADINO;Adaga Gemea:6;;49
Zelda Gelocorvo;F;MAGO;Bastao Etereo:5;Raio Congelante:10;28
Zelda Riachoclaro;F;MAGO;Adaga Ritual:3;Bola de Fogo:12;32
Zelda Sombravale;F;LADINO;Arco Curto:6;;55
Zelda Ventolesto;F;CLERIGO;Cetro Bento:5;Luz Curativa:9;47
Zumbi Colossal;M;MONSTRO;Tentaculo:5;;75
Zumbi das Ruinas;M;MONSTRO;Mandibula Brutal:9;Veneno Corrosivo:9;54
Zumbi do Norte;M;MONSTRO;Presa Venenosa:6;Veneno Corrosivo:9;78
Zumbi Errante;M;MONSTRO;Cauda Espinhosa:8;;36
Zumbi Faminto;M;MONSTRO;Garra Afiada:7;;86
Zumbi Maldito;M;MONSTRO;Cauda Espinhosa:8;Grito Aterrador:8;52
Zumbi Selvagem;F;MONSTRO;Tentaculo:5;;83
Zumbi Sombrio;M;MONSTRO;Mandibula Brutal:9;Grito Aterrador:8;35
Zumbi Venenoso;M;MONSTRO;Mandibula Brutal:9;Grito Aterrador:8;30
